name,link,profile_photo,department,disciplines
Zhengyong Ren,https://www.researchgate.net/profile/Zhengyong-Ren-2,https://i1.rgstatic.net/ii/profile.image/905869290123265-1592987477715_Q64/Zhengyong-Ren-2.jpg,School of Geoscience and Info-Physics,"['Electromagnetic induction in Earth', 'Unstructrued girds', 'Magnetotellurics']"
Shi Huang,https://www.researchgate.net/profile/Shi-Huang-10,https://i1.rgstatic.net/ii/profile.image/272181355610135-1441904500374_Q64/Shi-Huang-10.jpg,Center for Medical Genetics,"['Evolution', 'Genomics', 'Epigenetics']"
Daihong Xiao,https://www.researchgate.net/profile/Daihong-Xiao,https://i1.rgstatic.net/ii/profile.image/272184014798870-1441905134986_Q64/Daihong-Xiao.jpg,State Key Laboratory of Powder Metallurgy,"['Mechanical Properties', 'Microstructure', 'Materials Processing']"
Rujun Chen,https://www.researchgate.net/profile/Rujun-Chen,https://i1.rgstatic.net/ii/profile.image/272184295817231-1441905201752_Q64/Rujun-Chen.jpg,School of Geoscience and Info-Physics,"['Applied Geophysics', 'Digital Signal Processing', 'Sensor Networks']"
Yunping Li,https://www.researchgate.net/profile/Yunping-Li-2,https://i1.rgstatic.net/ii/profile.image/311284531171328-1451227423834_Q64/Yunping-Li-2.jpg, School of Materials Science and Engineering,"['Microstructure', 'Mechanical Properties', 'Material Characterization']"
Bing xu,https://www.researchgate.net/profile/Bing-Xu-22,https://i1.rgstatic.net/ii/profile.image/539898835685376-1505733321594_Q64/Bing-Xu-22.jpg,School of Geoscience and Info-Physics,"['Synthetic Aperture Radar', 'Earthquake', 'Deformation Monitoring']"
Muzhou Hou,https://www.researchgate.net/profile/Muzhou-Hou,https://i1.rgstatic.net/ii/profile.image/666761007476737-1535979620892_Q64/Muzhou-Hou.jpg,School of Mathematics and Statistics,[]
Longjun Dong,https://www.researchgate.net/profile/Longjun-Dong,https://i1.rgstatic.net/ii/profile.image/272239903899711-1441918459947_Q64/Longjun-Dong.jpg,School of Resources and Safety Engineering,"['Rock Mechanics', 'Geomechanics', 'Waves']"
Yurong Tan,https://www.researchgate.net/profile/Yurong-Tan,https://i1.rgstatic.net/ii/profile.image/272265149415429-1441924478078_Q64/Yurong-Tan.jpg,Medical Microbiology,[]
Jin-lan Xia,https://www.researchgate.net/profile/Jin-Lan-Xia,https://i1.rgstatic.net/ii/profile.image/354563606499329-1461545959562_Q64/Jin-Lan-Xia.jpg,Department of Bioengineering,[]
Liangjie Fu,https://www.researchgate.net/profile/Liangjie-Fu-2,https://i1.rgstatic.net/ii/profile.image/272301987987491-1441933261891_Q64/Liangjie-Fu-2.jpg,Inorganic materials,"['Computational Chemistry', 'Clay materials', 'Functional Materials']"
Jiaqi Huang,https://www.researchgate.net/profile/Jiaqi-Huang-7,https://i1.rgstatic.net/ii/profile.image/796983606398981-1567027107560_Q64/Jiaqi-Huang-7.jpg,,"['Sanger Sequencing', 'Pancreatic Cancer', 'Infection']"
Yanping(Martin) Liu,https://www.researchgate.net/profile/Yanpingmartin-Liu,https://i1.rgstatic.net/ii/profile.image/889973792333833-1589197695641_Q64/Yanpingmartin-Liu.jpg,School of Physics and Electronics,"['Graphene', 'Nanotechnology', 'Spintronics']"
Dong-Sheng Cao,https://www.researchgate.net/profile/Dong-Sheng-Cao,https://i1.rgstatic.net/ii/profile.image/1108099830161409-1641202995103_Q64/Dong-Sheng-Cao.jpg,Xiangya School of Pharmaceutical Sciences,"['Classification', 'Mass Spectrometry', 'Genomics']"
Peter Herrmann,https://www.researchgate.net/profile/Peter-Herrmann-2,https://i1.rgstatic.net/ii/profile.image/272315808219148-1441936556707_Q64/Peter-Herrmann-2.jpg,School of Law,"['Methodology', 'Social Exclusion', 'Political Philosophy']"
Qi Xiao,https://www.researchgate.net/profile/Qi-Xiao-17,https://i1.rgstatic.net/ii/profile.image/282000301805578-1444245520118_Q64/Qi-Xiao-17.jpg,School of Minerals Processing and Bioengineering,['controlled preparation of functional nanomaterials']
Kui Wang,https://www.researchgate.net/profile/Kui-Wang-5,https://i1.rgstatic.net/ii/profile.image/762347253682177-1558769157375_Q64/Kui-Wang-5.jpg,School of Traffic and Transportation Engineering,"['Mechanical Properties', 'Mechanical Engineering', 'Material Characteristics']"
Dezhi Zhang,https://www.researchgate.net/profile/Dezhi-Zhang-3,https://i1.rgstatic.net/ii/profile.image/272439418552366-1441966028049_Q64/Dezhi-Zhang-3.jpg,School of Traffic and Transportation Engineering,"['Logistics', 'Optimization Modeling', 'Genetic Algorithm']"
Chuan-cun Shu,https://www.researchgate.net/profile/Chuan-Cun-Shu,https://i1.rgstatic.net/ii/profile.image/693216898723842-1542287196078_Q64/Chuan-Cun-Shu.jpg,Institute of Super Microstructure and Ultrafast Process,"['Quantum Chemistry', 'Quantum Mechanics', 'Electronic Structure']"
Xiaoliang Liu,https://www.researchgate.net/profile/Xiaoliang-Liu-5,https://i1.rgstatic.net/ii/profile.image/534791268376576-1504515582338_Q64/Xiaoliang-Liu-5.jpg,School of Physics and Electronics,[]
Xiang Liu,https://www.researchgate.net/profile/Xiang-Liu-21,https://i1.rgstatic.net/ii/profile.image/326643248844800-1454889227032_Q64/Xiang-Liu-21.jpg,School of Traffic and Transportation Engineering,"['Mechanical Properties', 'Finite Element Analysis', 'Engineering, Applied and Computational Mathematics']"
Guoqing Hu,https://www.researchgate.net/profile/Guoqing-Hu-4,https://i1.rgstatic.net/ii/profile.image/590594250387463-1517820050821_Q64/Guoqing-Hu-4.jpg,Department of Epidemiology and Health Statistics,"['Public Health', 'Injury Prevention', 'Infectious Disease Epidemiology']"
Zhilin Liu,https://www.researchgate.net/profile/Zhilin-Liu-10,https://i1.rgstatic.net/ii/profile.image/1117777054183424-1643510225901_Q64/Zhilin-Liu-10.jpg,School of Mechanical and Electrical Engineering,"['Alloys', 'Zinc', 'Electron Backscatter Diffraction ']"
Desheng Liang,https://www.researchgate.net/profile/Desheng-Liang,https://i1.rgstatic.net/ii/profile.image/480708884996097-1491621337962_Q64/Desheng-Liang.jpg,Center for Medical Genetics,"['Cell Culture', 'Inborn Errors of Metabolism', 'Genetics']"
Xiao-Xin Yan,https://www.researchgate.net/profile/Xiao-Xin-Yan,https://i1.rgstatic.net/ii/profile.image/272398050131979-1441956164926_Q64/Xiao-Xin-Yan.jpg,,[]
Libao Chen,https://www.researchgate.net/profile/Libao-Chen,https://i1.rgstatic.net/ii/profile.image/272399321006093-1441956467598_Q64/Libao-Chen.jpg,State Key Laboratory of Powder Metallurgy,['Lithium Ion Batteries']
Mingming Lu,https://www.researchgate.net/profile/Mingming-Lu-3,https://i1.rgstatic.net/ii/profile.image/272443675770902-1441967042632_Q64/Mingming-Lu-3.jpg,School of Information Science and Engineering,"['Wireless Sensor Network', 'Routing', 'Ad Hoc Networks']"
Huaqun Yin,https://www.researchgate.net/profile/Huaqun-Yin,https://i1.rgstatic.net/ii/profile.image/986991797739527-1612328590528_Q64/Huaqun-Yin.jpg,School of Minerals Processing and Bioengineering,[]
Minghui Yang,https://www.researchgate.net/profile/Minghui-Yang-6,https://i1.rgstatic.net/ii/profile.image/272462403338255-1441971508000_Q64/Minghui-Yang-6.jpg,School of Chemistry and Chemical Engineering,[]
Haifeng Li,https://www.researchgate.net/profile/Haifeng-Li-3,https://i1.rgstatic.net/ii/profile.image/272423127875606-1441962143625_Q64/Haifeng-Li-3.jpg,Department of Geographic Information System,"['Deep Learning', 'Machine Learning', 'Geography Information Science']"
Dang-Jun Zhao,https://www.researchgate.net/profile/Dang-Jun-Zhao,https://i1.rgstatic.net/ii/profile.image/11431281084216583-1663074194921_Q64/Dang-Jun-Zhao.jpg,School of Automation,"['Segmentation', 'Nonlinear Systems', 'Stability Analysis']"
Shuying Wang,https://www.researchgate.net/profile/Shuying-Wang-2,https://i1.rgstatic.net/ii/profile.image/272460423626761-1441971035454_Q64/Shuying-Wang-2.jpg,School of Civil Engineering,"['Geotechnics', 'Geotechnical Engineering', 'Tunneling']"
Fenghua Wen,https://www.researchgate.net/profile/Fenghua-Wen,https://i1.rgstatic.net/ii/profile.image/11431281155374059-1683165507721_Q64/Fenghua-Wen.jpg,Director of Data Science and Economic Behavior Decision Research Center,"['Financial Engineering', 'Financial Risk Management', 'Data Modeling']"
Liang Long,https://www.researchgate.net/profile/Liang-Long-2,https://i1.rgstatic.net/ii/profile.image/272477339254817-1441975068634_Q64/Liang-Long-2.jpg,School of life Science & Xiangya Hospital,[]
Yongbo Yuan,https://www.researchgate.net/profile/Yongbo-Yuan-2,https://i1.rgstatic.net/ii/profile.image/759217212379146-1558022897992_Q64/Yongbo-Yuan-2.jpg,School of Physics Science and Technology,"['Experimental Physics', 'Material Characterization', 'Organic Photovoltaics']"
Han-Cheng Dan,https://www.researchgate.net/profile/Han-Cheng-Dan,https://i1.rgstatic.net/ii/profile.image/346426312806401-1459605877436_Q64/Han-Cheng-Dan.jpg,School of Civil Engineering,"['Asphalt', 'Nanomaterials', 'Ice']"
Zhiyong Cai,https://www.researchgate.net/profile/Zhiyong-Cai,https://i1.rgstatic.net/ii/profile.image/272493306970130-1441978875637_Q64/Zhiyong-Cai.jpg, School of Materials Science and Engineering,"['Material Characterization', 'Material Characteristics', 'Mechanical Properties']"
Juan Li,https://www.researchgate.net/profile/Juan-Li-55,https://i1.rgstatic.net/ii/profile.image/272555126816807-1441993614848_Q64/Juan-Li-55.jpg,Department of Applied Chemistry,"['Biomaterials', 'Fluorescence', 'Synthesis']"
Wenqiang Pan,https://www.researchgate.net/profile/Wenqiang-Pan,https://i1.rgstatic.net/ii/profile.image/272484893196318-1441976869980_Q64/Wenqiang-Pan.jpg,State Key Laboratory of Powder Metallurgy,[]
Zhicheng Li,https://www.researchgate.net/profile/Zhicheng-Li-5,https://i1.rgstatic.net/ii/profile.image/272497635491889-1441979907925_Q64/Zhicheng-Li-5.jpg, School of Materials Science and Engineering,"['Thin Films and Nanotechnology', 'Material Characterization', 'Thin Film Deposition']"
Chao Chen,https://www.researchgate.net/profile/Chao-Chen,https://i1.rgstatic.net/ii/profile.image/1096507201732616-1638439097957_Q64/Chao-Chen.jpg,School of Life Sciences,"['Epigenetics', 'Bioinformatics and Computational Biology', 'Bioinformatics']"
Kejia Pan,https://www.researchgate.net/profile/Kejia-Pan,https://i1.rgstatic.net/ii/profile.image/968645819768842-1607954568920_Q64/Kejia-Pan.jpg,School of Mathematics and Statistics,"['Multigrid methods', 'Differential Evolution', 'Finite Difference']"
Jian Zhou,https://www.researchgate.net/profile/Jian-Zhou-90,https://i1.rgstatic.net/ii/profile.image/317078588854274-1452608834227_Q64/Jian-Zhou-90.jpg,School of Resources and Safety Engineering,"['Mining', 'Blasting', 'Statistical Learning']"
Zhihong Liu,https://www.researchgate.net/profile/Zhihong-Liu-18,https://i1.rgstatic.net/ii/profile.image/434392599404547-1480578674855_Q64/Zhihong-Liu-18.jpg,School of Metallurgy and Environment,"['Zinc', 'Leaching', 'Arsenic']"
Wenfeng Hu,https://www.researchgate.net/profile/Wenfeng-Hu,https://i1.rgstatic.net/ii/profile.image/740186078060544-1553485521323_Q64/Wenfeng-Hu.jpg,School of Automation,"['Neural Networks', 'Stability', 'Consensus']"
Jingping Zhao,https://www.researchgate.net/profile/Jingping-Zhao,https://i1.rgstatic.net/ii/profile.image/272556259278853-1441993884936_Q64/Jingping-Zhao.jpg,Second Xiangya Hospital,[]
Yin Chen,https://www.researchgate.net/profile/Yin-Chen-16,https://i1.rgstatic.net/ii/profile.image/1113160950001665-1642409660298_Q64/Yin-Chen-16.jpg,School of Chemistry and Chemical Engineering,"['Intermediate phase', 'Organic Synthesis', 'Heterogeneous Catalysis']"
Weijun Peng,https://www.researchgate.net/profile/Weijun-Peng-3,https://i1.rgstatic.net/ii/profile.image/272553172271108-1441993148548_Q64/Weijun-Peng-3.jpg,Second Xiangya Hospital,"['Traumatic Brain Injury', 'Meta-Analysis', 'Systematic Reviews']"
Weifeng Wei,https://www.researchgate.net/profile/Weifeng-Wei,https://i1.rgstatic.net/ii/profile.image/322094900940801-1453804816939_Q64/Weifeng-Wei.jpg,State Key Laboratory of Powder Metallurgy,"['Lithium Ion Batteries', 'X-ray Diffraction', 'STEM']"
Fangyang Liu,https://www.researchgate.net/profile/Fangyang-Liu,https://i1.rgstatic.net/ii/profile.image/273548242624521-1442230391247_Q64/Fangyang-Liu.jpg,,[]
Liancheng Wang,https://www.researchgate.net/profile/Liancheng-Wang,https://i1.rgstatic.net/ii/profile.image/273557489975297-1442232596099_Q64/Liancheng-Wang.jpg,School of Mechanical and Electrical Engineering,"['Nanoelectronics', 'Microfabrication', 'Semiconductor Device Physics']"
Guozhi Dong,https://www.researchgate.net/profile/Guozhi-Dong,https://i1.rgstatic.net/ii/profile.image/409377279365120-1474614557025_Q64/Guozhi-Dong.jpg,School of Mathematics and Statistics,"['Numerical Analysis', 'Optimization', 'Optimization Modeling']"
Li Wang,https://www.researchgate.net/profile/Li-Wang-315,https://i1.rgstatic.net/ii/profile.image/276842356461574-1443015769192_Q64/Li-Wang-315.jpg,Powder Metallurgy Research Institute,"['Electron Microscopy', 'phase transformation', 'alloy design']"
Weijie Li,https://www.researchgate.net/profile/Weijie-Li-5,https://i1.rgstatic.net/ii/profile.image/272659942473790-1442018604814_Q64/Weijie-Li-5.jpg,,"['Lithium Ion Batteries', 'Electrochemical Methods', 'Carbon Nanotubes']"
Wei Cao,https://www.researchgate.net/profile/Wei-Cao,https://i1.rgstatic.net/ii/profile.image/800119389687818-1567774736749_Q64/Wei-Cao.jpg,School of Civil Engineering,"['Construction Materials', 'Civil Engineering', 'Computational Materials Science']"
Yanqing Lai,https://www.researchgate.net/profile/Yanqing-Lai-2,https://i1.rgstatic.net/ii/profile.image/272704502759425-1442029228039_Q64/Yanqing-Lai-2.jpg,School of Metallurgical Science and Engineering,[]
Shengjun Liu,https://www.researchgate.net/profile/Shengjun-Liu-3,https://i1.rgstatic.net/ii/profile.image/273636355473421-1442251399582_Q64/Shengjun-Liu-3.jpg,School of Mathematics and Statistics,['Algorithms']
Zhengbing Xiao,https://www.researchgate.net/profile/Zhengbing-Xiao,https://i1.rgstatic.net/ii/profile.image/273652524515355-1442255254800_Q64/Zhengbing-Xiao.jpg,Light Alloy Research Institute,"['Materials', 'Modeling and Simulation', 'Material Characterization']"
Lan Ying Jiang,https://www.researchgate.net/profile/Lan-Ying-Jiang,https://i1.rgstatic.net/ii/profile.image/273654088990721-1442255627218_Q64/Lan-Ying-Jiang.jpg,School of Metallurgy and Environment,[]
Jin Xiao,https://www.researchgate.net/profile/Jin-Xiao-7,https://i1.rgstatic.net/ii/profile.image/291319495839747-1446467388191_Q64/Jin-Xiao-7.jpg,,[]
Liang-xing Jiang,https://www.researchgate.net/profile/Liang-Xing-Jiang,https://i1.rgstatic.net/ii/profile.image/272705782022153-1442029533306_Q64/Liang-Xing-Jiang.jpg,School of Metallurgy and Environment,"['Thin Films', 'Advanced Materials', 'Material Characterization']"
Chang-Qi Li,https://www.researchgate.net/profile/Chang-Qi-Li,https://i1.rgstatic.net/ii/profile.image/272707698819084-1442029990562_Q64/Chang-Qi-Li.jpg,Xiangya School of Medicine,[]
Guohua Wu,https://www.researchgate.net/profile/Guohua-Wu-5,https://i1.rgstatic.net/ii/profile.image/277852751712257-1443256666314_Q64/Guohua-Wu-5.jpg,School of Traffic and Transportation Engineering,"['Evolutionary Computation', 'Evolutionary Algorithms', 'Soft Computing']"
Shigeng Zhang,https://www.researchgate.net/profile/Shigeng-Zhang,https://i1.rgstatic.net/ii/profile.image/272733699309572-1442036189163_Q64/Shigeng-Zhang.jpg,School of Information Science and Engineering,[]
